epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2463,0.89037,1.09527,1.28111,0.92697,0.82778,0.90432,0.45517,2.07274,1.03349,2.69083,0.0673882,0.000329412,0.000329412
2,189.309,0.63708,0.45666,1.0831,0.60868,0.65,0.69588,0.32649,1.35881,1.72378,1.38943,0.0343551,0.000629611,0.000629611
3,281.421,0.61973,0.42224,1.07728,0.95577,1,0.98796,0.82793,0.68699,0.43115,0.97562,0.00128864,0.000896481,0.000896481
4,372.416,0.60343,0.39856,1.06365,0.99528,1,0.995,0.87645,0.6048,0.48904,0.93666,0.000850015,0.000850015,0.000850015
5,462.892,0.54658,0.35919,1.03614,0.9983,1,0.995,0.82735,0.79428,0.38275,1.33754,0.00080002,0.00080002,0.00080002
6,554.626,0.52632,0.34256,1.02126,0.99951,1,0.995,0.83014,0.64962,0.39215,1.00206,0.000750025,0.000750025,0.000750025
7,645.121,0.50778,0.32401,1.01001,0.99969,1,0.995,0.83519,0.80626,0.32556,1.11358,0.00070003,0.00070003,0.00070003
8,736.429,0.48905,0.3116,1.00155,0.99969,1,0.995,0.91675,0.49214,0.27941,0.86114,0.000650035,0.000650035,0.000650035
9,825.521,0.46466,0.29373,0.9846,0.9997,1,0.995,0.91954,0.48392,0.23252,0.84896,0.00060004,0.00060004,0.00060004
10,916.514,0.44054,0.27884,0.97751,0.99969,1,0.995,0.93181,0.41575,0.22765,0.82683,0.000550045,0.000550045,0.000550045
11,1005.63,0.33527,0.21008,0.92468,0.99912,1,0.995,0.90896,0.47898,0.26013,0.86263,0.00050005,0.00050005,0.00050005
12,1091.39,0.31292,0.19621,0.91589,0.99968,1,0.995,0.9402,0.43954,0.22284,0.83656,0.000450055,0.000450055,0.000450055
13,1175.14,0.29524,0.18303,0.90087,0.99957,1,0.995,0.93864,0.44817,0.20276,0.84623,0.00040006,0.00040006,0.00040006
14,1259.47,0.27463,0.17489,0.88798,0.99969,1,0.995,0.94931,0.44499,0.21581,0.83538,0.000350065,0.000350065,0.000350065
15,1344.91,0.2662,0.16602,0.88264,1,1,0.995,0.93879,0.43731,0.20881,0.83956,0.00030007,0.00030007,0.00030007
16,1430.73,0.25676,0.15976,0.87534,0.9997,1,0.995,0.94659,0.42117,0.19885,0.83269,0.000250075,0.000250075,0.000250075
17,1516.03,0.24228,0.14802,0.86537,1,1,0.995,0.94881,0.41188,0.17059,0.8258,0.00020008,0.00020008,0.00020008
18,1601.94,0.22961,0.1409,0.8658,1,1,0.995,0.94762,0.4266,0.17921,0.83404,0.000150085,0.000150085,0.000150085
19,1687.43,0.21907,0.13389,0.8498,0.9997,1,0.995,0.95009,0.40692,0.16554,0.82158,0.00010009,0.00010009,0.00010009
20,1773.54,0.20746,0.12576,0.84951,1,1,0.995,0.95286,0.41521,0.16007,0.83121,5.0095e-05,5.0095e-05,5.0095e-05
