epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.341,0.42648,0.58769,1.64423,1.03539,0.99395,1,0.995,0.83208,0.99395,1,0.995,0.98768,0.74978,0.27104,1.03258,1.589,0.000415975,0.000415975,0.000415975
2,268.241,0.40362,0.41381,0.88634,1.00888,0.96047,0.97166,0.995,0.8038,0.96047,0.97166,0.995,0.99158,0.86654,0.29339,0.75901,1.62895,0.000791425,0.000791425,0.000791425
3,394.373,0.39326,0.41182,0.72193,1.00274,0.99722,1,0.995,0.92512,0.99722,1,0.995,0.99397,0.41963,0.28287,0.47781,1.04007,0.00112563,0.00112563,0.00112563
4,522.046,0.37721,0.39641,0.59389,0.9908,0.86251,1,0.995,0.96117,0.86251,1,0.995,0.995,0.32081,0.22382,0.51711,0.90153,0.00106437,0.00106437,0.00106437
5,649.3,0.35579,0.37367,0.53503,0.97615,0.9981,1,0.995,0.96904,0.9981,1,0.995,0.995,0.30409,0.21916,0.31412,0.8934,0.0010025,0.0010025,0.0010025
6,775.728,0.34023,0.36044,0.46675,0.96691,0.99714,1,0.995,0.95768,0.99714,1,0.995,0.995,0.3749,0.21888,0.37979,0.93612,0.000940625,0.000940625,0.000940625
7,900.671,0.32987,0.35753,0.43111,0.96348,0.86089,0.95819,0.995,0.97011,0.86089,0.95819,0.995,0.99413,0.34197,0.2395,0.48973,0.89294,0.00087875,0.00087875,0.00087875
8,1028.83,0.31323,0.35225,0.4027,0.95153,0.99738,1,0.995,0.96762,0.99738,1,0.995,0.995,0.32158,0.24896,0.25587,0.88155,0.000816875,0.000816875,0.000816875
9,1155.4,0.30707,0.3374,0.37966,0.94812,0.99858,1,0.995,0.98658,0.99858,1,0.995,0.99432,0.27039,0.2136,0.24621,0.81435,0.000755,0.000755,0.000755
10,1283.03,0.29157,0.32714,0.34353,0.9404,0.99854,1,0.995,0.99358,0.99854,1,0.995,0.995,0.2531,0.20432,0.28349,0.80547,0.000693125,0.000693125,0.000693125
11,1404.47,0.17403,0.20642,0.21617,0.93547,0.99827,1,0.995,0.97845,0.99827,1,0.995,0.99421,0.26228,0.21803,0.23062,0.82313,0.00063125,0.00063125,0.00063125
12,1523.63,0.14963,0.19148,0.16895,0.9162,0.9981,1,0.995,0.9944,0.9981,1,0.995,0.995,0.17647,0.21121,0.17715,0.70701,0.000569375,0.000569375,0.000569375
13,1641.14,0.13922,0.18854,0.15152,0.90871,0.9988,1,0.995,0.995,0.9988,1,0.995,0.995,0.18734,0.2082,0.1748,0.73251,0.0005075,0.0005075,0.0005075
14,1758.87,0.12804,0.18298,0.13639,0.90176,0.99905,1,0.995,0.995,0.99905,1,0.995,0.995,0.16771,0.20712,0.1771,0.70613,0.000445625,0.000445625,0.000445625
15,1876.5,0.11856,0.18014,0.12362,0.89529,0.99907,1,0.995,0.995,0.99907,1,0.995,0.995,0.16207,0.20524,0.15811,0.69272,0.00038375,0.00038375,0.00038375
16,1993.63,0.11319,0.17601,0.11761,0.88971,0.99912,1,0.995,0.995,0.99912,1,0.995,0.995,0.14191,0.20126,0.12588,0.68639,0.000321875,0.000321875,0.000321875
17,2111.36,0.11038,0.17396,0.11005,0.88721,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.12598,0.21587,0.13914,0.66398,0.00026,0.00026,0.00026
18,2228.76,0.10217,0.17131,0.09993,0.8848,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.1231,0.20504,0.10574,0.66175,0.000198125,0.000198125,0.000198125
